ID,airport_name,type,country,lat,long,elevation,service
353792,Betong International Airport,medium_airport,TH,5.79,101.15,785.0,no
507227,Dhoho International Airport,medium_airport,ID,-7.749527,111.946831,380.0,yes
593373,Mandalika International Circuit Heliport,heliport,ID,-8.89364,116.30298,41.0,no
339963,Dara Sakor International Airport,large_airport,KH,10.914244,103.226652,60.0,yes
342098,Techo International Airport,large_airport,KH,11.359987,104.921272,20.0,yes
26476,Siem Reap International Airport,closed,KH,13.410676,103.812074,60.0,no
430434,Bokeo International Airport,medium_airport,LA,20.323986,100.165392,1175.0,yes
42456,Hanthawaddy International Airport (under construction),closed,MM,17.3005,96.4276,138.0,no
603355,Hanthawaddy International Airport (Under Construction),closed,MM,17.300476,96.427308,,no
504746,Putrajaya International Convention Centre Heliport,heliport,MY,2.893768,101.679261,187.0,no
325853,Manila International Container Terminal (MICT) Heliport,heliport,PH,14.597028,120.954743,14.0,no
325972,Clark International Airport South Ramp Heliport,heliport,PH,15.172336,120.545547,,no
342106,New Manila International Airport (Under Construction),closed,PH,14.742719,120.871831,18.0,no
343753,Thousand Islands International Airport (under construction),closed,PH,16.14357,120.03444,,no
5690,Legazpi City International Airport,closed,PH,13.1575,123.735,66.0,no
5686,Subic Bay International Airport / Naval Air Station Cubi Point,large_airport,PH,14.794833,120.271883,64.0,yes
5687,Clark International Airport / Clark Air Base,large_airport,PH,15.186,120.559998,484.0,yes
325947,Cagayan North International Airport,medium_airport,PH,18.182388,121.746223,148.0,no
5688,Laoag International Airport,large_airport,PH,18.175089,120.531006,25.0,yes
336104,Bicol International Airport,large_airport,PH,13.111915,123.676829,319.0,yes
5689,Ninoy Aquino International Airport,large_airport,PH,14.5086,121.019997,75.0,yes
5697,Francisco Bangoy International Airport,large_airport,PH,7.12552,125.646004,96.0,yes
5709,General Santos International Airport,large_airport,PH,6.057208,125.096243,505.0,yes
308633,Laguindingan International Airport,large_airport,PH,8.612203,124.456496,190.0,yes
5712,Zamboanga International Airport,large_airport,PH,6.92242,122.059998,33.0,yes
336116,Bohol-Panglao International Airport,large_airport,PH,9.573045,123.770143,42.0,yes
35178,Bacolod-Silay International Airport,large_airport,PH,10.776237,123.018879,82.0,yes
5739,Iloilo International Airport,large_airport,PH,10.833017,122.493358,27.0,yes
5741,Kalibo International Airport,large_airport,PH,11.6794,122.375999,14.0,yes
5742,Mactan Cebu International Airport,large_airport,PH,10.309261,123.97974,31.0,yes
5744,Puerto Princesa International Airport / PAF Antonio Bautista Air Base,large_airport,PH,9.742044,118.75911,71.0,yes
26475,Phnom Penh International Airport,large_airport,KH,11.547155,104.844699,40.0,no
513482,Siem Reap-Angkor International Airport,large_airport,KH,13.36974,104.223831,191.0,yes
26478,Sihanouk International Airport,large_airport,KH,10.570557,103.632067,33.0,yes
26583,Luang Phabang International Airport,large_airport,LA,19.904273,102.167191,955.0,yes
