ID,airport_name,type,country,lat,long,elevation,service
353792,Betong International Airport,medium_airport,TH,5.79,101.15,785.0,no
312504,Casiguran Airport,small_airport,PH,16.1941,122.0651,48.0,no
316499,Culion Airport,small_airport,PH,11.8553,119.9378,155.0,no
302475,Dilasag Airport,small_airport,PH,16.445833333299998,122.206805556,60.0,no
38200,Kamiri Airfield,closed,ID,-0.971504,134.809006,54.0,no
593331,Garuda Wisnu Kencana Cultural Park Heliport,heliport,ID,-8.808354,115.16235,315.0,no
41497,Berau Airport,small_airport,ID,2.16350007057,117.68699646,39.0,no
46490,Jatiwangi Airport,small_airport,ID,-6.678375,108.252219444,,no
46594,Discovery Kartika Plaza Heliport,heliport,ID,-8.728339,115.166369,10.0,yes
46597,Grand Inna Bali Beach Heliport,heliport,ID,-8.676952,115.265071,3.0,no
302359,Karyadibya Helipad,heliport,ID,-7.76384709931,112.737796605,,no
310158,Aboge Airstrip,small_airport,ID,-6.0634,139.267,53.0,no
310161,Aboyi Airstrip,small_airport,ID,-4.288741,140.640664,828.0,no
310167,Amazu Airstrip,small_airport,ID,-5.6119,139.6234,58.0,no
310169,Ambisibil Airstrip,small_airport,ID,-4.67128,140.574487,6425.0,no
310171,Angguruk Airstrip,small_airport,ID,-4.200167,139.432554,4820.0,no
310173,Arsbol Airstrip,small_airport,ID,-3.6941,138.9372,2800.0,no
310248,Bentiang Airstrip,small_airport,ID,0.9196,109.9155,2390.0,no
310250,Beoga Airport,small_airport,ID,-3.8165,137.4252,6238.0,no
310258,Bime Airstrip,small_airport,ID,-4.48558,140.219843,4483.0,no
310260,Diphikin Airstrip,small_airport,ID,-4.725525,140.792284,5568.0,yes
310263,Binuang Airstrip,small_airport,ID,3.7147,115.8517,2675.0,no
310265,Biri Airstrip,small_airport,ID,-2.87793,137.76816,415.0,no
310267,Bomela Airport,small_airport,ID,-4.693634,139.912707,5050.0,no
310270,Bomomani Airstrip,small_airport,ID,-3.960942,135.939631,4966.0,no
310271,Borme Airstrip,small_airport,ID,-4.394362,140.436348,3270.0,no
310273,Kurid  Airstrip,small_airport,ID,3.798115,115.706339,3260.0,no
310275,Bugalaga Airstrip,small_airport,ID,-3.6235,136.5963,6360.0,no
310281,Calang Airstrip,small_airport,ID,4.612323,95.623534,32.0,no
310291,Comoro Airstrip,small_airport,ID,-5.926349,138.631461,21.0,no
310293,Dagai Airport,small_airport,ID,-3.305757,137.94366,347.0,no
310295,Datah Dian Airstrip,small_airport,ID,2.006992,115.151588,1800.0,no
310297,Daufo Airfield,small_airport,ID,-3.1737,137.2544,500.0,no
310313,Derapos Airstrip,small_airport,ID,-2.9737,137.2234,433.0,no
310319,Dou Airstrip,small_airport,ID,-3.262752,138.1484,299.0,no
310321,Doyo Baru Airport,small_airport,ID,-2.538781,140.464293,385.0,no
310323,Eaopoto Airstrip,small_airport,ID,-3.9497,136.3383,5900.0,no
310326,Engkadik Airstrip,small_airport,ID,0.9797,110.0282,2190.0,no
310330,Eri Airstrip,small_airport,ID,-2.637412,138.101757,440.0,no
310332,Faowi Airstrip,small_airport,ID,-3.230632,137.726191,333.0,no
310333,Fef Airport,closed,ID,-0.8103,132.4326,1406.0,no
310334,Foao Airstrip,small_airport,ID,-3.066549,139.099195,241.0,no
310338,Fruata Airstrip,small_airport,ID,-2.9858,133.5001,192.0,no
310342,Geyarek Airstrip,small_airport,ID,-4.650391,138.752389,248.0,no
310344,Gilgal Airstrip,small_airport,ID,0.458,111.0707,108.0,no
310347,Gusimawa Airstrip,small_airport,ID,-3.041994,133.878175,131.0,no
310349,Haya Airstrip,small_airport,ID,-2.8156,138.1099,250.0,no
310351,Hing Airstrip,small_airport,ID,-1.233,133.9478,6700.0,no
310353,Hitadipa Airport,small_airport,ID,-3.734325,137.116992,5061.0,no
310355,Holuwon Airstrip,small_airport,ID,-4.480541,139.273998,3770.0,no
310358,Hubliki Airstrip,small_airport,ID,-3.732237,139.286263,1970.0,no
310360,Hulu Atas Airstrip,small_airport,ID,-3.6799,140.22955,568.0,no
310362,Ibele Airstrip,small_airport,ID,-4.052,138.796,6320.0,no
310397,Kaiy Airstrip,small_airport,ID,-2.9871,138.1062,195.0,no
310399,Kaesah Airstrip,closed,ID,-7.1088,140.1265,53.0,no
310406,Illaga III Airport,small_airport,ID,-3.9993,137.65317,7673.0,no
310409,Ilugwa/Antara Airport,small_airport,ID,-3.835894,138.921683,6500.0,no
310412,Iratoi Airstrip,small_airport,ID,-3.2389,137.3339,352.0,no
310414,Iray Airstrip,small_airport,ID,-1.33034,133.91081,6464.0,no
310416,Iwur Airstrip,small_airport,ID,-5.139139,140.717638,820.0,yes
310422,Jila Airstrip,small_airport,ID,-4.24677,137.59563,4390.0,no
310425,Jita Airstrip,small_airport,ID,-4.8564,137.7019,40.0,no
310427,Kanggime Airstrip,small_airport,ID,-3.665978,138.361559,4990.0,no
310443,Kasonaweja Airstrip,small_airport,ID,-2.3007,138.0327,88.0,no
310445,Kaure  Airstrip,small_airport,ID,-3.469809,140.362085,700.0,no
310449,Kedembak Airstrip,small_airport,ID,0.5906,111.302,170.0,no
310452,Kelansam Airstrip,small_airport,ID,0.1228,111.4197,96.0,no
310455,Keneyan Airstrip,small_airport,ID,-4.5995,138.3844,449.0,no
310458,Kerapak Airstrip,small_airport,ID,0.0939,111.9083,157.0,no
310463,Kiwi Airstrip,small_airport,ID,-4.697841,140.722425,5260.0,yes
310465,Kobagma Airport,small_airport,ID,-3.666539,139.058758,3195.0,no
310468,Komopa Airstrip,small_airport,ID,-3.7998,136.4775,5822.0,no
310470,Koropun Airstrip,small_airport,ID,-4.479226,139.649894,5900.0,no
310474,Kuala Kurun Airport,small_airport,ID,-1.128903,113.873075,115.0,no
310478,Kuala Randau Airstrip,small_airport,ID,-0.582399,110.472759,240.0,no
310480,Kustera Airstrip,small_airport,ID,-2.746014,137.919206,350.0,no
310482,Kwerba Airstrip,small_airport,ID,-2.643549,138.40894,247.0,no
310484,Kwijawagi,small_airport,ID,-4.0256,138.2046,9288.0,no
311832,Alama Airstrip,small_airport,ID,-4.2631,137.892387,3350.0,no
311869,Kangean Island Airport (planned),closed,ID,-6.86,115.299,,no
311870,Aideralma Airstrip,small_airport,ID,-4.3341,137.8316,2730.0,no
311871,Enggano Airport,small_airport,ID,-5.305621,102.189546,36.0,no
311872,Apouwo Airstrip,small_airport,ID,-4.063248,135.560018,5250.0,no
311873,Aurimi Wzil Airstrip,small_airport,ID,-2.182027,138.434418,290.0,no
325373,Bareri Airport,small_airport,ID,-2.981631,137.783613,300.0,no
325374,Bari Airport,small_airport,ID,-3.959166,139.901563,1660.0,no
325377,Basiem Airport,small_airport,ID,-6.058573,138.383542,49.0,no
325386,Awimbon Airstrip,small_airport,ID,-5.165884,140.381568,492.0,yes
329576,Anik Airstrip,small_airport,ID,0.537465,109.742062,139.0,no
